model,baseline,horizon,metric,error_model,error_baseline,skill,n_forecasts
integer,persistence,5,RMSE,1710.9663217874263,832.4766108980526,-1.0552725438636452,13
integer,persistence,5,MAE,1603.760149316074,699.9230769230769,-1.291337722948562,13
integer,persistence,6,RMSE,1770.6973516166754,845.8559615515562,-1.0933792892689196,13
integer,persistence,6,MAE,1700.168169700039,712.4615384615385,-1.3863297566508863,13
integer,persistence,7,RMSE,1858.585227477182,964.205930765351,-0.9275812024946846,13
integer,persistence,7,MAE,1808.5188488462009,847.8461538461538,-1.13307430910911,13
integer,persistence,8,RMSE,2009.1860191470505,1077.2492033665403,-0.8651079182682047,13
integer,persistence,8,MAE,1945.6584166507416,943.5384615384615,-1.0620870223756431,13
integer,persistence,9,RMSE,2037.3157976001908,1120.3573949002578,-0.8184516894999985,13
integer,persistence,9,MAE,1975.50999684476,979.1538461538462,-1.0175685410465771,13
integer,persistence,10,RMSE,2041.6810832995695,1170.2940787550926,-0.7445880658230966,13
integer,persistence,10,MAE,1986.2274573414873,974.6923076923076,-1.0377994590355404,13
integer,persistence,11,RMSE,2048.762832824167,1175.945675092702,-0.7422257475139395,13
integer,persistence,11,MAE,1984.810798317552,971.6153846153846,-1.042794741360793,13
integer,persistence,12,RMSE,2022.4920716180495,1152.9582019243437,-0.7541764031362208,13
integer,persistence,12,MAE,1951.183078170772,1016.1538461538462,-0.9201650277229398,13
integer,seasonal_naive_12,1,RMSE,1185.7961452738227,1090.6381335995632,-0.0872498482702033,13
integer,seasonal_naive_12,1,MAE,1052.2441001777142,1029.8461538461538,-0.021748827480601,13
integer,seasonal_naive_12,2,RMSE,1281.0705766942465,1049.8347855367897,-0.2202592201583639,13
integer,seasonal_naive_12,2,MAE,1164.036880504358,1002.9230769230768,-0.1606442281451643,13
integer,seasonal_naive_12,3,RMSE,1530.8819375378198,1170.5403748828014,-0.3078420619973037,13
integer,seasonal_naive_12,3,MAE,1386.1562181595857,1105.8461538461538,-0.2534801638894417,13
integer,seasonal_naive_12,4,RMSE,1574.963502449497,1182.5561297460683,-0.3318298073408918,13
integer,seasonal_naive_12,4,MAE,1444.8331388520578,1118.3846153846157,-0.2918928953213253,13
integer,seasonal_naive_12,5,RMSE,1710.9663217874263,1278.389551800955,-0.3383763340188999,13
integer,seasonal_naive_12,5,MAE,1603.760149316074,1206.6153846153843,-0.329139483686661,13
integer,seasonal_naive_12,6,RMSE,1770.6973516166754,1239.1724906317368,-0.4289353298296385,13
integer,seasonal_naive_12,6,MAE,1700.168169700039,1160.0,-0.4656622152586542,13
integer,seasonal_naive_12,7,RMSE,1858.585227477182,1237.4084892349692,-0.5019981224035861,13
integer,seasonal_naive_12,7,MAE,1808.5188488462009,1157.4615384615386,-0.562487209078262,13
integer,seasonal_naive_12,8,RMSE,2009.1860191470505,1258.4132255161046,-0.5966027521071517,13
integer,seasonal_naive_12,8,MAE,1945.6584166507416,1187.5384615384614,-0.6383961275074261,13
integer,seasonal_naive_12,9,RMSE,2037.3157976001908,1207.9267043479597,-0.6866220361441022,13
integer,seasonal_naive_12,9,MAE,1975.50999684476,1105.076923076923,-0.7876674063052957,13
integer,seasonal_naive_12,10,RMSE,2041.6810832995695,1189.9456677965145,-0.7157767270839006,13
integer,seasonal_naive_12,10,MAE,1986.2274573414873,1071.1538461538462,-0.8542877519166487,13
integer,seasonal_naive_12,11,RMSE,2048.762832824167,1190.7543827339036,-0.7205587168365699,13
integer,seasonal_naive_12,11,MAE,1984.810798317552,1073.2307692307693,-0.8493793275607924,13
integer,seasonal_naive_12,12,RMSE,2022.4920716180495,1152.9582019243437,-0.7541764031362208,13
